seed,synchrony,lambda2,max_degree,avg_clustering,diameter
0,0.40614297122849896,0.5060219782780836,26.0,0.1373899767587074,5.0
1,0.41609922038312047,0.2797212400226541,29.0,0.09546832978830949,7.0
2,0.22543190617252037,0.3242507165043993,33.0,0.14690940089023616,5.0
3,0.03380085338042085,0.2866816512770185,32.0,0.13941432443849344,6.0
4,0.3226549508364281,0.5094922577497492,28.0,0.1092606924665748,5.0
5,0.051993492400628206,6.739746498163184e-16,26.0,0.13559107968055337,9999.0
6,0.03369165157273764,0.6044156480414209,23.0,0.13803344191741015,6.0
7,0.26739708041026095,0.4422316240923396,30.0,0.12911519181734576,6.0
8,0.20613191978419898,0.36150904192503897,23.0,0.12631839896989983,6.0
9,0.023247721069166703,0.31726232013043343,22.0,0.13976936883206234,6.0
10,0.025699287410906015,0.34122127078642794,27.0,0.11936590923123429,6.0
11,-0.007833447991149158,0.7498679964211507,23.0,0.10094539028746191,5.0
12,-0.0024207331332518995,0.3473499800617402,30.0,0.12079748928399603,5.0
13,0.0250999511781038,0.8357239053655037,32.0,0.13960009491730754,5.0
14,0.11163412732580087,7.456293348088156e-16,31.0,0.14507241977864843,9999.0
15,0.09911461156940567,0.6280849868508944,25.0,0.1272730602730603,5.0
16,0.02629673119102483,0.5607105281791243,35.0,0.1496893987916333,6.0
17,0.2600900546813591,0.5508669642517731,24.0,0.1207115403777808,5.0
18,0.33818535420007945,1.156534415901797e-15,23.0,0.11315091992107738,9999.0
19,0.0464569263346915,0.5510562157106205,26.0,0.10262573400037393,6.0
20,0.16229112267152515,0.6289016568312613,27.0,0.13406941350130203,5.0
21,0.61636867358609,0.32642268663385676,21.0,0.09717928124507073,7.0
22,0.13654176147723388,0.5036555194913395,32.0,0.14985239780249265,6.0
23,0.0023367811888152143,0.6644381789546212,26.0,0.12433499772538674,5.0
24,0.037873802893756664,0.5707481805913138,23.0,0.10998035355186381,6.0
25,0.0034675790430837568,0.34650175147341217,30.0,0.13032905208500384,6.0
26,0.19169473478607474,0.3013049032609992,22.0,0.1191872305541036,7.0
27,0.3533315646760377,0.5273270467578735,26.0,0.13513452337136544,5.0
28,0.1675079357135618,0.3579112199241862,25.0,0.1662838701598427,6.0
29,0.04153370796480404,0.5479265146794731,24.0,0.15046119498350616,5.0
30,-0.0018594924635606512,-1.894085090822005e-15,25.0,0.13139955249428933,9999.0
31,0.00035726915017475047,-3.4591779450911465e-16,29.0,0.14047961625247982,9999.0
32,0.45928053558544707,0.6365800276909741,30.0,0.10268761844421073,5.0
33,0.257840322610968,0.6445310220839287,22.0,0.13822479532851048,5.0
34,0.0720347528723249,0.3402338211564032,33.0,0.10540500778704104,6.0
35,0.3777105152820258,2.9712810341327538e-15,23.0,0.14763071497234911,9999.0
36,0.0324300677280549,0.31958960525383706,26.0,0.11655029275775,6.0
37,-0.008408886142880455,0.6333521947400121,22.0,0.13395704948646125,5.0
38,0.020983498614817252,0.5517070002414624,22.0,0.13106089146491623,5.0
39,0.2389307671538959,0.5128812637455049,30.0,0.15200170987808437,6.0
40,0.09148763928945536,0.4128902345032215,23.0,0.12781675061675735,6.0
41,0.20149833039945927,0.19084518216829105,39.0,0.15670393349340717,6.0
42,0.11887000775960144,0.31592280347747964,32.0,0.15481733896755617,6.0
43,0.17831609605242552,0.316103265847405,22.0,0.09823779986783082,6.0
44,0.041883555843640424,0.48117620330380517,24.0,0.1122733360326576,6.0
45,0.02431262991826673,0.3410954329114173,35.0,0.1356733281936203,7.0
46,0.01644068182014547,0.6950039048294467,37.0,0.1332646893015314,5.0
47,0.059010057883570506,0.559434156817251,29.0,0.13989558233659868,6.0
48,0.11110390450090349,1.9860044588109195e-15,24.0,0.13575855865915093,9999.0
49,0.02007136371850454,0.662186611376886,19.0,0.10760864324873615,5.0
