topology,target,i_event,t_event,sync_surge_mean,delta_H_mean,delta_LZ_mean,bifurcation
BA_m3_fonctionnel,peripheral,0.3,50,0.002648371405005978,-0.7117951167093666,0.060857722698336184,YES
BA_m3_fonctionnel,peripheral,0.3,150,-0.01059204575304853,0.7370387727772878,0.07175364684956687,YES
BA_m3_fonctionnel,peripheral,0.3,300,-0.0798493561944813,0.7966620075232591,0.07587283768722708,YES
BA_m3_fonctionnel,peripheral,0.8,50,-0.02876936714612639,1.1996818253750434,0.054612497879948194,YES
BA_m3_fonctionnel,peripheral,0.8,150,-0.02696952819027847,1.1995003866101486,0.04903165868053734,YES
BA_m3_fonctionnel,peripheral,0.8,300,-0.056366615351292795,1.054453139150997,0.03680696329135189,YES
BA_m3_fonctionnel,peripheral,1.5,50,-0.03107650909208508,1.0253415893977458,0.037869980281715884,YES
BA_m3_fonctionnel,peripheral,1.5,150,-0.020118135502479827,0.9066616240548712,0.020064445693119604,YES
BA_m3_fonctionnel,peripheral,1.5,300,-0.016089015416074548,0.7532020337066628,0.029498721482599778,YES
BA_m3_fonctionnel,peripheral,3.0,50,-0.03046436375432775,0.5919542122925362,0.013154835255753939,YES
BA_m3_fonctionnel,peripheral,3.0,150,-0.013163437073577788,0.7880097439319658,0.022589111045233867,YES
BA_m3_fonctionnel,peripheral,3.0,300,-0.01758125540421731,0.7940345474269999,0.027771318873258344,YES
BA_m3_fonctionnel,hub,0.3,50,-0.0020576717568954626,0.4581793795285586,0.01302195813195861,YES
BA_m3_fonctionnel,hub,0.3,150,-0.05173821502625668,0.5780413250081575,0.01807128883618736,YES
BA_m3_fonctionnel,hub,0.3,300,-0.08947479284583074,0.7705246615027974,0.018735674455164664,YES
BA_m3_fonctionnel,hub,0.8,50,-0.032943867646681446,0.7891220699102917,0.021791848302460927,YES
BA_m3_fonctionnel,hub,0.8,150,-0.0406374363460942,0.31017369670931866,0.013686343750936025,YES
BA_m3_fonctionnel,hub,0.8,300,-0.09522233168539455,0.5751570113318947,0.01222469538918558,YES
BA_m3_fonctionnel,hub,1.5,50,-0.04951034126444824,0.21444430848046742,0.009832907160866645,~
BA_m3_fonctionnel,hub,1.5,150,-0.06241630810285877,0.3304927405633135,0.021393216931074564,YES
BA_m3_fonctionnel,hub,1.5,300,-0.04536995760657647,0.37861137049809773,0.012224695389185447,YES
BA_m3_fonctionnel,hub,3.0,50,-0.09301533834893087,0.277490816839012,0.007972627427729662,~
BA_m3_fonctionnel,hub,3.0,150,-0.041528459709593665,0.4485043351721016,0.01063016990363963,YES
BA_m3_fonctionnel,hub,3.0,300,-0.02644922418310014,0.2453406473056572,0.008902767294298175,~
BA_m5_dead_zone,peripheral,0.3,50,0.005725220043606427,-0.41631857506047953,0.012357572512980952,YES
BA_m5_dead_zone,peripheral,0.3,150,-0.024558443947509435,-0.3885516878049571,-0.016875394722028057,YES
BA_m5_dead_zone,peripheral,0.3,300,-0.06577173722814164,-0.6483536181167032,-0.044646713595285895,YES
BA_m5_dead_zone,peripheral,0.8,50,-0.004335449784382805,-0.2532464120612004,-0.01820416595998293,~
BA_m5_dead_zone,peripheral,0.8,150,-0.032302806989644564,-0.32602297312943884,0.0294987214825994,YES
BA_m5_dead_zone,peripheral,0.8,300,-0.1028115359108643,-0.3496281315286499,-0.02019732281691511,YES
BA_m5_dead_zone,peripheral,1.5,50,-0.025204072976528845,-0.38181100441224497,0.00013287712379530525,YES
BA_m5_dead_zone,peripheral,1.5,150,-0.0342800212140429,-0.3192893020241622,-0.04451383647149028,YES
BA_m5_dead_zone,peripheral,1.5,300,-0.05791765122262356,-0.36034590246943116,0.03747134891032933,YES
BA_m5_dead_zone,peripheral,3.0,50,-0.03498148640446188,-0.4279214315387076,-0.006245224818388117,YES
BA_m5_dead_zone,peripheral,3.0,150,-0.02545434063365548,-0.30119551225923696,-0.028967212987417935,YES
BA_m5_dead_zone,peripheral,3.0,300,-0.06432378374300263,-0.46575781120671433,-0.0022589111045231646,YES
BA_m5_dead_zone,hub,0.3,50,0.0042876976968218685,-0.27380258340094016,-0.0037205594662739205,~
BA_m5_dead_zone,hub,0.3,150,-0.026730804004632992,-0.36157071629719384,-0.005182207828024188,YES
BA_m5_dead_zone,hub,0.3,300,-0.06533253371694239,-0.45601779450414986,-0.0021260339807275042,YES
BA_m5_dead_zone,hub,0.8,50,-0.011135205677382621,-0.3116819510026013,0.0063781019421837335,YES
BA_m5_dead_zone,hub,0.8,150,-0.08115609658346942,-0.3473682983428195,-0.011294555522616934,YES
BA_m5_dead_zone,hub,0.8,300,-0.16200378229937168,-0.39944902863424564,-0.006112347694592657,YES
BA_m5_dead_zone,hub,1.5,50,-0.12919599645287208,-0.4445638922943805,0.0098329071608668,YES
BA_m5_dead_zone,hub,1.5,150,-0.09858837383820433,-0.3529017754167306,0.053948112260970446,YES
BA_m5_dead_zone,hub,1.5,300,-0.08884250606002446,-0.48961261780640575,-0.0029232967235011563,YES
BA_m5_dead_zone,hub,3.0,50,-0.11014410978179792,-0.5670992688607575,0.05275221814681115,YES
BA_m5_dead_zone,hub,3.0,150,-0.06141120079237006,-0.3871853100217623,0.018735674455164553,YES
BA_m5_dead_zone,hub,3.0,300,-0.06269766747687792,-0.6638426147851944,0.023785005159393524,YES
