model,I_stim,seed,synchrony,lz_full,lz_tail
FULL,0.0,0,0.40614297122849896,0.9197076356410898,1.384458767607551
FULL,0.0,1,0.41609922038312047,0.9364395669784316,1.2839671594008837
FULL,0.0,2,0.22543190617252037,0.9243706328990373,1.2416111923055113
FULL,0.0,3,0.03380085338042085,0.9092844652997953,1.2673569762262278
FULL,0.0,4,0.3226549508364281,0.911204522994244,1.2740010494960903
FULL,0.0,5,0.051993492400628206,0.9139474625577422,1.3163570165914624
FULL,0.0,6,0.03369165157273764,0.9205305175101389,1.3230010898613247
FULL,0.1,0,0.0710575227798112,1.0919642402288037,1.2856281777183494
FULL,0.1,1,0.01428636048412742,1.0905927704470537,1.3495773829407738
FULL,0.1,2,0.016166623312488703,1.0700207237208141,1.4027299690996724
FULL,0.1,3,0.020836852312273172,1.1130848748677429,1.394424877512345
FULL,0.1,4,0.0085008742030579,1.091964240228804,1.4052214965758707
FULL,0.1,5,0.0810988187677122,1.128171042466985,1.4351198262902514
FULL,0.1,6,0.05856755282681039,1.1218622814709382,1.367848584432896
FULL,0.2,0,0.04415528588974601,1.0903184764907041,1.3470858554645762
FULL,0.2,1,0.06026246047703124,1.1155535204748914,1.396916404988543
FULL,0.2,2,0.002879657946499157,1.1001930589192994,1.4226621889092592
FULL,0.2,3,0.012451398536017575,1.1180221660820402,1.3205095623851257
FULL,0.2,4,0.060861198356364256,1.1086961715661448,1.4160181156393972
FULL,0.2,5,0.03936324004843044,1.1372227430265303,1.312204470797799
FULL,0.2,6,0.023694601088077655,1.1254281029034867,1.35123840125824
FULL,0.3,0,0.011417706983263375,1.0916899462724532,1.441763899560114
FULL,0.3,1,0.03333976526454438,1.0848325973637072,1.3769841851789562
FULL,0.3,2,0.022349784540116914,1.1062275259589962,1.3271536356549893
FULL,0.3,3,0.012879698790702217,1.1174735781693403,1.3686790935916284
FULL,0.3,4,0.0062039291231157445,1.1026617045264482,1.4683401926395623
FULL,0.3,5,0.058175145377051055,1.11747357816934,1.4201706614330607
FULL,0.3,6,0.01854352186635168,1.1100676413478945,1.3645265477979642
FULL,0.4,0,0.018476007151348266,1.0634376687684177,1.4616961193697
FULL,0.4,1,0.06582318447787718,1.0681006660263654,1.4666791743220973
FULL,0.4,2,0.024590654371911335,1.097175825399451,1.4758147750681578
FULL,0.4,3,0.058103061760983885,1.094707179792302,1.4592045918935026
FULL,0.4,4,0.025227437107140562,1.09882158913755,1.46750968348083
FULL,0.4,5,0.02026929432003207,1.0900441825343536,1.2548993388452363
FULL,0.4,6,0.0032880829269340116,1.084832597363707,1.4816283391792862
FULL,0.5,0,-0.011641056569316525,1.0609690231612692,1.3827977492900856
FULL,0.5,1,0.006938259006258415,1.0502715588636247,1.5023910681476063
FULL,0.5,2,0.03384274974878878,1.0873012429708553,1.3105434524803328
FULL,0.5,3,0.04548532901661156,1.0892213006653046,1.2133738809085974
FULL,0.5,4,0.005156221508693381,1.0585003775541206,1.471662229274494
FULL,0.5,5,0.09938330612446125,1.0796210121930594,1.4077130240520694
FULL,0.5,6,0.019382002597152018,1.0735865451533628,1.470831720115761
FULL,0.7,0,0.02609220398748269,1.0442370918239279,1.4035604782584057
FULL,0.7,1,0.01749636598659292,1.008304583542095,1.1760009687656217
FULL,0.7,2,0.08528985017953446,1.0321681577445334,1.4700012109570284
FULL,0.7,3,0.025203705051921346,1.0609690231612696,1.1984247160514068
FULL,0.7,4,0.008092447539644908,1.0390255066532803,1.2698485037024263
FULL,0.7,5,0.003507480385955743,1.0406712703913792,1.1884586061466136
FULL,0.7,6,0.02135905709075772,1.0307966879627843,1.2474247564166412
FULL,1.0,0,0.04506464165862367,1.1457258556733763,1.127000928400387
FULL,1.0,1,0.036656276528912575,1.1421600342408285,1.1353060199877154
FULL,1.0,2,0.045061261229964907,1.1273481605979359,1.063051723177963
FULL,1.0,3,0.03383888909298197,1.1717837815266137,1.0721873239240234
FULL,1.0,4,0.014733597151039267,1.0985472951812003,1.0406279758921777
FULL,1.0,5,0.027133945886618795,1.0831868336256079,1.0655432506541613
FULL,1.0,6,0.045888183786596315,1.13996568259003,1.1735094412894236
FROZEN_U,0.0,0,0.011243604748917963,0.9243706328990371,2.0671372960858987
FROZEN_U,0.0,1,-0.005499876494302515,0.931227981807784,2.0023575817047425
FROZEN_U,0.0,2,0.018359706499956836,0.9284850422442854,2.0687983144033657
FROZEN_U,0.0,3,0.014633311554486403,0.9150446383831422,2.102018680752678
FROZEN_U,0.0,4,-0.009087906836837658,0.9166904021212414,2.0870695158954864
FROZEN_U,0.0,5,0.010997339372700822,0.9175132839902911,2.0663067869271674
FROZEN_U,0.0,6,-0.001157023139237752,0.9164161081648915,2.0970356258002805
FROZEN_U,0.1,0,0.08056658457809286,1.3810700702215586,1.435950335448984
FROZEN_U,0.1,1,0.34622683995663656,1.4907876527615034,1.8420693140693152
FROZEN_U,0.1,2,0.10429493237131504,1.146548737542426,1.435950335448984
FROZEN_U,0.1,3,0.09926223044022922,1.4180997543287903,1.3421028005121787
FROZEN_U,0.1,4,0.10161072011858858,1.3758584850509115,1.4043909874171383
FROZEN_U,0.1,5,0.6129610374398408,1.536046155559231,2.00152707254601
FROZEN_U,0.1,6,0.1250015733867557,1.308930759701545,1.1701874046544922
FROZEN_U,0.2,0,0.8480836820282593,1.5991337655197002,2.0588322044985703
FROZEN_U,0.2,1,0.7900006207733545,1.6073625842101962,2.097866134959012
FROZEN_U,0.2,2,0.8166416408128523,1.5941964743054027,2.059662713657302
FROZEN_U,0.2,3,0.8574793665425365,1.5930992984800039,2.069628823562097
FROZEN_U,0.2,4,0.842708706173761,1.5840475979204576,2.047205076276312
FROZEN_U,0.2,5,0.8358601318704608,1.5917278286982535,2.065476277768434
FROZEN_U,0.2,6,0.8157505453069389,1.5980365896942996,2.0895610433716842
FROZEN_U,0.3,0,0.8711812880981916,1.6114769935554452,2.0314254022603904
FROZEN_U,0.3,1,0.8883847953234605,1.6117512875117952,2.0247813289905285
FROZEN_U,0.3,2,0.8480966808992509,1.6229973397221389,2.038899984688984
FROZEN_U,0.3,3,0.9093716519535273,1.6240945155475384,2.018137255720668
FROZEN_U,0.3,4,0.8832831892308718,1.6265631611546871,2.027272856466726
FROZEN_U,0.3,5,0.906569393283577,1.630128982587236,2.018137255720666
FROZEN_U,0.3,6,0.913408047370694,1.6224487518094397,2.025611838149261
FROZEN_U,0.4,0,0.8520662875222134,1.6260145732419868,2.0173067465619337
FROZEN_U,0.4,1,0.8739862815094507,1.6208029880713406,2.020628783196864
FROZEN_U,0.4,2,0.8029487757291845,1.624643103460238,2.0189677648793993
FROZEN_U,0.4,3,0.8499924303219424,1.622448751809439,2.0123236916095366
FROZEN_U,0.4,4,0.8649980894586431,1.6169628726824425,2.0173067465619337
FROZEN_U,0.4,5,0.8832752955331964,1.6224487518094395,2.0231203106730633
FROZEN_U,0.4,6,0.9023723512654577,1.6188829303768915,2.0214592923555976
FROZEN_U,0.5,0,0.7051454120835986,1.6375349194086812,1.9973745267523473
FROZEN_U,0.5,1,0.8087631355732523,1.62135157598404,1.9982050359110792
FROZEN_U,0.5,2,0.695265383011861,1.6402778589721796,1.9691372153554334
FROZEN_U,0.5,3,0.6579374489433639,1.6400035650158296,1.9907304534824852
FROZEN_U,0.5,4,0.7382775486112709,1.6402778589721803,1.996544017593613
FROZEN_U,0.5,5,0.7935588097830794,1.6315004523689844,2.0048491091809417
FROZEN_U,0.5,6,0.843256385604672,1.6262888671983382,1.999866054228546
FROZEN_U,0.7,0,0.5244171982368571,1.6523467930515734,1.98989994432375
FROZEN_U,0.7,1,0.4959156922219697,1.648232383706325,1.9932219809586815
FROZEN_U,0.7,2,0.29374340034648816,1.6531696749206228,2.0006965633872773
FROZEN_U,0.7,3,0.21877670146095404,1.654541144702372,1.9849168893713534
FROZEN_U,0.7,4,0.11167412140853551,1.6449408562301269,1.9982050359110781
FROZEN_U,0.7,5,0.4591867327969839,1.6644157271309674,1.9982050359110786
FROZEN_U,0.7,6,0.13898487946818952,1.6279346309364344,1.9965440175936129
FROZEN_U,1.0,0,0.9177456059018411,1.6035224688212981,1.984086380212621
FROZEN_U,1.0,1,0.9096608804707182,1.5889848891347556,2.005679618339672
FROZEN_U,1.0,2,0.9209887594026368,1.6010538232141494,1.9957135084348783
FROZEN_U,1.0,3,0.9155340038067425,1.6081854660792456,1.9973745267523446
FROZEN_U,1.0,4,0.8330328877422014,1.5914535347419037,2.0040186000222078
FROZEN_U,1.0,5,0.881822026291671,1.6101055237736945,1.9940524901174137
FROZEN_U,1.0,6,0.9306349263437435,1.585967655614907,2.0031880908634747
