noise_type,eta,H_cont_mean,H_cont_std,escaped
uncorrelated,0.1,3.678520559927442,0.14357289669641146,YES
uncorrelated,0.2,3.2766693555534046,0.0962296082377182,YES
uncorrelated,0.3,3.3204124452023507,0.09456951643190543,YES
uncorrelated,0.5,3.4929054815994585,0.0982066424626289,YES
matern_exp_l1,0.1,3.3081485821504644,0.23508908203911807,YES
matern_exp_l1,0.2,3.2030461909690886,0.18013661971688139,YES
matern_exp_l1,0.3,3.3480643678908946,0.11375836015687688,YES
matern_exp_l1,0.5,3.569225698487456,0.09209677739220187,YES
matern_exp_l3,0.1,3.271321265872757,0.11333568410203891,YES
matern_exp_l3,0.2,3.301063966984775,0.11437744353218127,YES
matern_exp_l3,0.3,3.368366708615607,0.07242105850901014,YES
matern_exp_l3,0.5,3.6105882249248125,0.1367904836969503,YES
matern_gauss_l3,0.1,3.3874334183835755,0.16617583623484178,YES
matern_gauss_l3,0.2,3.387736442714344,0.1933819953686478,YES
matern_gauss_l3,0.3,3.4240138620681932,0.19955132699940545,YES
matern_gauss_l3,0.5,3.5465292752040085,0.07291944461310336,YES
