topo,delta,h_cont_mean,h_cont_std,h_cog_mean,h_cog_std,lz_mean,lz_std,sync_mean,sync_std
lattice,-0.1,4.079577536538804,0.06794758562528565,0.42475745678682736,0.03637422875945919,0.7227300576797963,0.0352757930080708,0.09692502696528134,0.031313826737487865
lattice,-0.05,4.064766225284484,0.14774627944751093,0.42667460008319047,0.08795227110236027,0.7019034191612911,0.0186088184659439,0.10433705058568184,0.029326488877183893
lattice,-0.02,4.114693638192185,0.11492217489655877,0.45724045944789365,0.06847563459869588,0.7186822470586449,0.027942340571516483,0.0959771559456208,0.02421258939070346
lattice,-0.01,4.062500633828537,0.12325115064189202,0.4212250070296879,0.08793049052975094,0.7030785899867863,0.020694313303314206,0.09971439913493356,0.02939033869499911
lattice,0.0,4.051257768953783,0.1372675149157311,0.42228260904572307,0.07351420252279901,0.743034398053637,0.03587937834698636,0.12064423145154596,0.05613738961145765
lattice,0.01,4.056577029956177,0.11529904682703004,0.43180667199740846,0.07305866280947622,0.743621983466385,0.029262537224628557,0.11349154457843147,0.06126912701186253
lattice,0.02,4.034544296785479,0.1199582368515205,0.41367233538631365,0.0675577516884266,0.7447318670237975,0.04618417837105393,0.1269878325862723,0.05511277829976795
lattice,0.05,4.007739245159112,0.12000531285018788,0.4043290416006446,0.061722866054799645,0.7325884351603428,0.05804085867738216,0.12024680597037407,0.053847387013533324
lattice,0.1,4.043999686434123,0.1550650480794494,0.43120851406220767,0.0819215527709712,0.7543943827000947,0.06323927129335402,0.12073479293324342,0.04992581708165886
ba_m3,-0.1,3.1136123603151256,0.022754509810735454,0.01960111508637756,0.006812532896441216,0.7666031018316327,0.11191041431991176,0.19052419657994638,0.03877174831055516
ba_m3,-0.05,3.0729433297433406,0.06291827922926124,0.020135532384393997,0.001956246439010592,0.6925020525573262,0.03126858032988143,0.20326535954023842,0.022616445533320123
ba_m3,-0.02,3.1273696828470237,0.0917756204488226,0.01981791598906484,0.013873696393787088,0.7072569751441046,0.10886674955091728,0.1958901884427745,0.005350744186685945
ba_m3,-0.01,3.0442647338980824,0.039277028884998524,0.007031641229790747,0.0038229004184589747,0.7699980397719531,0.1474443823316362,0.17115808287583045,0.021238027376403797
ba_m3,0.0,3.125826408097345,0.05697632064896992,0.009455789238188123,0.0032295081282437917,0.761184258580736,0.1522572720069556,0.18754008086487559,0.024861191456229195
ba_m3,0.01,3.1372859217821234,0.05243810475631397,0.02289355921517564,0.0008251399384488964,0.7625552912104809,0.1562142748956285,0.23141296948514237,0.043956230598259774
ba_m3,0.02,3.1589008322600702,0.011595706238722211,0.01648836477418289,0.007148476482803835,0.7653626437380537,0.1521345208709768,0.15995725344074638,0.024425634060832754
ba_m3,0.05,3.1304434504651266,0.0790986935286469,0.012785098571303265,0.0001564585550351238,0.7592256405382436,0.10678813941910416,0.11926833797255254,0.01917830112000487
ba_m3,0.1,3.0899564185966324,0.028632464540711534,0.008947456195379325,8.349992624168504e-05,0.7871033040097228,0.12675606745791765,0.17649011425990624,0.026332317111362632
