m,graph_mode,norm,h_cont_mean,h_cont_std,h_cog_mean,h_cog_std,sync_mean,sync_std
3,SYMM,uniform,2.9957037013534404,0.050752366533319944,0.00484805530685668,0.0008258632240556348,0.02870185235999878,0.010170912211077462
3,SYMM,degree_linear,3.1100437733653403,0.13300390782416954,0.00978142017314791,0.0059848980973322575,0.13975890067121902,0.02615239063085601
3,HUB_BCAST,uniform,2.9330525286262197,0.25587903749775354,0.02054940061108313,0.004910667712312348,0.1032590402791896,0.016294032848343017
3,HUB_BCAST,degree_linear,2.3240549274759794,0.26219659707113724,0.01618707457571761,0.0062427704301724184,0.05181232963982416,0.04202203639402838
3,HUB_LISTEN,uniform,3.423738780981933,0.04960157363743992,0.05324592100365416,0.0027980893479026686,0.3111806382475073,0.04086692599740589
3,HUB_LISTEN,degree_linear,1.11347151039974,0.014813781958903292,0.02424080417287082,0.003258171577142802,0.053748355229985896,0.03636965879060965
5,SYMM,uniform,2.9029060200179195,0.40510323281991006,0.026931045298637057,0.038086249510216705,0.041798534789109665,0.03644165406690511
5,SYMM,degree_linear,2.6309993628061368,0.11105649786451874,0.003411732890929371,0.004824918925546684,0.4531337450692477,0.09474732186358414
5,HUB_BCAST,uniform,2.889002298834882,0.10330278803042423,0.008224243413508496,0.006936033987237523,0.6419879326170904,0.024124509142254814
5,HUB_BCAST,degree_linear,2.801720305436948,0.0938375775782132,0.008880628486195318,0.007682365983486883,0.3409400556443041,0.08321201551363439
5,HUB_LISTEN,uniform,3.328002116810577,0.09029296473646894,0.029305820927195775,0.010422310767949831,0.2124457969389243,0.06304345060464744
5,HUB_LISTEN,degree_linear,1.1122321483348987,0.036778351194947996,0.023213538974089315,0.0027993991682700174,0.06084172546165045,0.036559364219585895
