N,m,seed,lambda2,H_stable,steps
100,1,0,0.016986459554294415,0.889547520355891,3000
100,1,1,0.02976733995267168,0.9422555483570254,3000
100,1,2,0.023283219054527685,0.8570558740022678,3000
100,2,0,0.5942581906134652,1.779006764767572,3000
100,2,1,0.6666661146510843,1.8553542236432188,3000
100,2,2,0.6700199753619972,1.8682522521600298,3000
100,3,0,1.16559882902227,2.9240984826623255,3000
100,3,1,1.304979940648247,3.294403113440999,3000
100,3,2,1.3666579470752342,2.9763602364723702,3000
100,4,0,2.0462973402706486,2.7856992402595013,3000
100,4,1,2.1123240328982873,2.796845333253727,3000
100,4,2,2.2714454022153565,2.538851167921798,3000
100,5,0,3.0353837918975617,2.6187357010984855,3000
100,5,1,2.9219283752176755,2.600668612251824,3000
100,5,2,3.0161428104791694,2.5046184350713787,3000
100,6,0,3.8675459549079743,2.404556504805684,3000
100,6,1,3.9849977717274054,2.442097452827901,3000
100,6,2,3.997571557897801,2.366200965031942,3000
100,8,0,5.9549296259412605,2.1264495276932753,3000
100,8,1,6.085660394277226,2.439923920545118,3000
100,8,2,5.835012649745152,2.4803059247206005,3000
100,10,0,7.656906253373383,2.0692554432980867,3000
100,10,1,7.624422401632094,2.1728315451541382,3000
100,10,2,7.558004979488527,2.224088298383266,3000
400,1,0,0.004810128305795929,0.9918718390078866,2000
400,1,1,0.007386353534429126,0.9879969445563432,2000
400,1,2,0.006758660748283952,0.9804450705448511,2000
400,2,0,0.558940833011422,1.6330191436672146,2000
400,2,1,0.5548015091634699,1.78933860242882,2000
400,2,2,0.5264600877317773,1.8894742465274514,2000
400,3,0,1.3199034445024822,3.804505019661658,2000
400,3,1,1.3081137662523101,3.963521213199908,2000
400,3,2,1.255738397009655,3.7662698264843244,2000
400,4,0,2.057260164101616,2.983132959943299,2000
400,4,1,2.1347443102675028,3.002358344076604,2000
400,4,2,2.0502164393066793,3.0151262041937708,2000
400,5,0,2.9750298277222225,2.8996812388621125,2000
400,5,1,2.9613809030813107,2.872295087729941,2000
400,5,2,2.8931150241123795,3.0199347803003658,2000
400,6,0,3.788778761449997,2.73090466764746,2000
400,6,1,3.748328313351026,2.7468694457498892,2000
400,6,2,3.792042764076661,2.7259339137701013,2000
400,8,0,5.584835305946747,2.5145993621145615,2000
400,8,1,5.571535153570354,2.5871632913249996,2000
400,8,2,5.587546989016417,2.473778234353899,2000
400,10,0,7.5096434778200285,2.390316378821344,2000
400,10,1,7.521306781389045,2.4730513100752516,2000
400,10,2,7.451950960079359,2.367660627878371,2000
1600,1,0,0.0012362529418350498,1.8883055393103791,1000
1600,1,1,0.0018048997914304728,1.8996889665949186,1000
1600,1,2,0.0016673845566729508,1.901558944640484,1000
1600,2,0,0.538374833909915,2.472098169805138,1000
1600,2,1,0.537102382126909,2.5698722800783553,1000
1600,2,2,0.5415307901058317,2.5263204264872416,1000
1600,3,0,1.270167960020471,3.4119737035822624,1000
1600,3,1,1.2608798444776161,3.5586830710863717,1000
1600,3,2,1.239602011562192,3.515845803173001,1000
1600,4,0,2.059316404032701,3.9190305039083215,1000
1600,4,1,1.9723073088701164,3.7195627573178967,1000
1600,4,2,2.049284355714676,3.8281536610454032,1000
1600,5,0,2.9041723200642817,3.091640550663049,1000
1600,5,1,2.8917791127793073,3.01123612294285,1000
1600,5,2,2.8422402857028453,3.011137332338236,1000
1600,6,0,3.776695126292096,2.7312626395740094,1000
1600,6,1,3.7401716384423027,2.75429940975192,1000
1600,6,2,3.7890786210887994,2.7602024528422433,1000
1600,8,0,5.52135694253446,2.43268724342463,1000
1600,8,1,5.513796255690269,2.642269080196607,1000
1600,8,2,5.572015420051494,2.607016854305695,1000
1600,10,0,7.302416807982018,2.4682677431193865,1000
1600,10,1,7.357164404901769,2.4179672578112603,1000
1600,10,2,7.347733027475382,2.3992301766537425,1000
