topo,tau_u,h_cont_mean,h_cont_std,h_cog_mean,h_cog_std,sync_mean,sync_std,freq_dom,freq_std,peak_power,peak_pwr_std
lattice,0.05,4.267770754602474,0.049445832387155705,0.5134402511499455,0.01609623200403623,0.03566832706102602,0.005710602749618745,0.035555555555555556,0.0031426968052735453,0.40243154669357767,0.1581856280661261
lattice,0.1,3.982166709028938,0.16057570687957615,0.4170216743972672,0.09546218738005681,0.031647556257489357,0.02019006372502766,0.04,0.005443310539518175,0.30515788123264936,0.06202296102755764
lattice,0.5,3.944307222468705,0.15031090112145226,0.3959971987511494,0.04809688906789108,0.05107868886833423,0.01662955276536701,0.03333333333333333,0.010886621079036348,0.29095468340690295,0.026650145147120236
lattice,1.0,3.9393562844204593,0.11296849657596549,0.3928349334478443,0.08769552290335168,0.048377982589181044,0.007382646385630753,0.03333333333333333,0.005443310539518173,0.3115148359187638,0.03493119943174616
lattice,2.0,3.809832278252541,0.12757744493385717,0.32004111590099277,0.07364820944631867,0.04459962645796692,0.005291972653926322,0.044444444444444446,0.0031426968052735453,0.3069404420635911,0.08555558320938002
lattice,5.0,3.8899295129549345,0.07992779164013833,0.3680625041291002,0.05990290381164019,0.05264541658983516,0.009069363619489478,0.042222222222222223,0.008314794192830982,0.3020374432704116,0.027041118774264565
lattice,10.0,3.9802282282899433,0.08059701225586328,0.3981093769131532,0.05463154830389657,0.08244368489723168,0.05038246470378481,0.03333333333333333,0.014401645996461912,0.2577309092455608,0.025870282408865946
lattice,20.0,4.037787355763939,0.1201374201861976,0.43423623960698277,0.08051938523276851,0.08330140962285197,0.014814364290784858,0.035555555555555556,0.00831479419283098,0.2519131439117741,0.05187601824635376
lattice,50.0,4.442578391843029,0.08377172200156263,0.7148472989824787,0.05467062314303041,0.07439479815370693,0.016649900524033784,0.02666666666666667,0.0,0.2732605716673519,0.053350777361278155
lattice,100.0,4.717383735931457,0.03265127552170476,1.1838937493458854,0.012790484105156546,0.2059245284803616,0.022167155414441354,0.02666666666666667,0.0,0.43386604087754477,0.05787145930170028
ba_m3,0.05,3.0093263214432366,0.015793114589493725,0.06462948871179353,0.0031064593389281917,0.0994350758924472,0.04694827060889209,0.011111111111111112,0.00628539361054709,0.33573342595846833,0.0935455740096767
ba_m3,0.1,2.9933545578601586,0.035069341682944025,0.027277888376042562,0.007983740481110899,0.10882987063735118,0.03253020568050298,0.008888888888888889,0.003142696805273545,0.45335896478930365,0.17480597081201507
ba_m3,0.5,2.9091864546705426,0.06935694841437667,0.012473775670795197,0.003930246206789415,0.1092679719028692,0.010571021061289272,0.013333333333333334,0.005443310539518174,0.49367464345404577,0.17822993090905823
ba_m3,1.0,2.924152499138254,0.052805489785361,0.01064891774263787,0.0045913938158681274,0.10573223764730606,0.004166616171337448,0.008888888888888889,0.003142696805273545,0.4681444012629637,0.13195001453183783
ba_m3,2.0,2.8944219170938177,0.034914377185510256,0.008303972543630765,0.0012609853368927772,0.09162516013596671,0.036341221200128865,0.008888888888888889,0.003142696805273545,0.550159545698455,0.0868080576772064
ba_m3,5.0,2.9406937974110092,0.030386963366841817,0.009599612880094713,0.0038800762392028044,0.10825038472034965,0.024301881895080143,0.011111111111111112,0.003142696805273545,0.5128603045705596,0.053393162964312686
ba_m3,10.0,3.0446431945946872,0.05762151796695722,0.023339350512499375,0.003748896713449902,0.11202891085247846,0.029681385488507395,0.006666666666666667,0.0,0.5513464783258754,0.15216616461060054
ba_m3,20.0,3.204058155344144,0.03587896518783965,0.03221179303854099,0.01099310059337219,0.09346195158166248,0.01281357129535234,0.006666666666666667,0.0,0.3958848259759373,0.08578924173445297
ba_m3,50.0,3.943897054901175,0.05996282401211034,0.3801092462680216,0.02355289768033097,0.07432011096026449,0.03492296321666285,0.02,0.009428090415820633,0.22954580830863078,0.018556408894821533
ba_m3,100.0,4.621170466981602,0.07365658991956164,1.0590083271570678,0.0436476549176376,0.23950797302215052,0.02821423853386613,0.02,0.009428090415820633,0.41060470780106884,0.056107836622131625
