topo,tau_u,h_cog_mean,h_cog_std,h_cont_mean,h_cont_std,sync_mean,sync_std,f_dom_mean,f_dom_std,peak_pow_mean
lattice,0.05,0.1317062670076674,0.012621486165338069,3.11942944093132,0.07626230224592513,0.020597629304461348,0.0062383096636488495,0.03333333333333333,0.01440164599646191,0.006653036543234233
lattice,0.1,0.11181584053403326,0.012598307265496609,3.1728971401704222,0.06349915673736625,0.02776958776344321,0.010663744915759664,0.044444444444444446,0.0031426968052735453,0.007917214155034642
lattice,0.5,0.00446612340616173,0.0014754705852778461,2.644273290515676,0.29953979800365327,0.13731998599746928,0.011808230670230362,0.006666666666666667,0.0,0.02698979283177041
lattice,1.0,0.0010772418119454825,0.00021989106407146878,2.166012831848097,0.3188392360963926,0.16705542609680255,0.041316355867841714,0.006666666666666667,0.0,0.03193399655471591
lattice,2.0,0.0,0.0,1.9089743359720075,0.19600822221945224,0.2785941168416934,0.08003748731746249,0.006666666666666667,0.0,0.022008050573304277
lattice,5.0,0.002828577274285408,0.002239890231979381,2.6366904074878827,0.20892938549395018,0.38470107415715066,0.12825486560110894,0.006666666666666667,0.0,0.05043659843068878
lattice,10.0,0.004758051579310218,0.0007069696000100384,3.1113758519817645,0.33599783173950676,0.07093463967687653,0.04669290858394424,0.006666666666666667,0.0,0.0351317146891886
lattice,20.0,0.0027831082574101677,0.0016507344725690072,1.1077966849746221,0.10653415023895582,0.02889749030740386,0.01920533168335433,0.02,0.018856180831641266,0.005486984898956515
lattice,50.0,0.0008977015099545686,0.0006717782971679266,0.7945195722669257,0.0032055490765534275,0.044724259319393396,0.02322432320678779,0.04666666666666667,0.0,0.0020163535673288595
lattice,100.0,0.0008977015099545686,0.0006717782971679266,0.7837253065591047,0.002836678539434206,0.047288534366743094,0.023961613325642908,0.04666666666666667,0.0,0.002062740309193792
ba_m3,0.05,0.029091422560672365,0.008040759559603587,3.071509459177761,0.047383485552679384,0.0897455739288739,0.02992959553887256,0.013333333333333334,0.005443310539518174,0.014519335912554094
ba_m3,0.1,0.03887716430809881,0.0033557509682446414,3.0754669327780206,0.03804964429554829,0.08418864329541564,0.024787265204441765,0.015555555555555557,0.00831479419283098,0.01166743694150589
ba_m3,0.5,0.016008435054668996,0.004968857974074142,2.890404035933632,0.10181509427523544,0.21526583376345956,0.06707690181287126,0.011111111111111112,0.003142696805273545,0.029788697419940263
ba_m3,1.0,0.001526092566922767,0.0004577397516640054,2.665769959987673,0.13564584818366301,0.3049199706420849,0.06914925433555914,0.006666666666666667,0.0,0.045508400096287815
ba_m3,2.0,8.977015099545688e-05,0.00012695416503405568,2.2347300397089906,0.07031270418405351,0.2672650236764023,0.1508859199657091,0.011111111111111112,0.003142696805273545,0.01631399292782474
ba_m3,5.0,0.0009650875173389125,0.0013648398558976696,2.6221439605325174,0.24048385100107664,0.4525570838936363,0.20494563765914284,0.006666666666666667,0.0,0.0438406278069872
ba_m3,10.0,0.004337333839421273,0.0013999340330944797,3.0713714171280255,0.22966896194263553,0.2609952573038565,0.0845218676552355,0.006666666666666667,0.0,0.06211127266186398
ba_m3,20.0,0.0027604905372480503,0.0006755981390098026,1.2279499446986835,0.07685803360503941,0.02376488077025965,0.02288127355073698,0.017777777777777778,0.015713484026367724,0.008245424574704783
ba_m3,50.0,0.0006283910569681981,0.0004577397516640054,0.7736423191418247,0.004123309205391446,0.04837449721326953,0.0277915202035031,0.04888888888888889,0.0031426968052735453,0.001971820597271357
ba_m3,100.0,0.0006283910569681981,0.0004577397516640054,0.7593144812196017,0.0051049386077252346,0.05157352950232356,0.028356391836438934,0.04888888888888889,0.0031426968052735453,0.002015297493935993
