topology,graph_seed,eta,sigma_C,mc_seed,H_stable
BA_m5,0,0.5,0.5,0,1.6611924772951783
BA_m5,7,0.5,0.5,0,1.824246646732736
BA_m5,13,0.5,0.5,0,1.6883818042911338
BA_m5,42,0.5,0.5,0,1.5933491359603031
BA_m5,99,0.5,0.5,0,1.670463975937193
BA_m5_bisect,42,0.1,0.25,0,0.0
BA_m5_bisect,42,0.1,0.25,1,0.0
BA_m5_bisect,42,0.1,0.375,0,0.12396295110071731
BA_m5_bisect,42,0.1,0.375,1,0.09695554512914115
BA_m5_bisect,42,0.1,0.4375,0,0.44422031372037396
BA_m5_bisect,42,0.1,0.4375,1,0.6121335321942851
BA_m5_bisect,42,0.1,0.40625,0,0.20019686530531836
BA_m5_bisect,42,0.1,0.40625,1,0.001145363312790317
BA_m5_bisect,42,0.1,0.421875,0,0.35860153032610026
BA_m5_bisect,42,0.1,0.421875,1,0.14692991948011763
BA_m5_bisect,42,0.1,0.4296875,0,0.03191539393207613
BA_m5_bisect,42,0.1,0.4296875,1,0.11810820435061223
BA_m5_bisect,42,0.3,0.25,0,0.9180184841314493
BA_m5_bisect,42,0.3,0.25,1,0.2736692646552415
BA_m5_bisect,42,0.3,0.125,0,0.08774382690388748
BA_m5_bisect,42,0.3,0.125,1,0.15884601557907363
BA_m5_bisect,42,0.3,0.1875,0,0.5909515203300215
BA_m5_bisect,42,0.3,0.1875,1,0.2525334285189177
BA_m5_bisect,42,0.3,0.21875,0,0.156934022774874
BA_m5_bisect,42,0.3,0.21875,1,0.43043800734407217
BA_m5_bisect,42,0.3,0.234375,0,0.788342036582094
BA_m5_bisect,42,0.3,0.234375,1,0.8589669808969229
BA_m5_bisect,42,0.3,0.2265625,0,0.3299052389782591
BA_m5_bisect,42,0.3,0.2265625,1,0.24427763156563523
BA_m5_bisect,42,0.5,0.25,0,1.4573919355467313
BA_m5_bisect,42,0.5,0.25,1,1.5598449771219973
BA_m5_bisect,42,0.5,0.125,0,1.4642395246227051
BA_m5_bisect,42,0.5,0.125,1,1.2850487640446584
BA_m5_bisect,42,0.5,0.0625,0,1.4035020703959986
BA_m5_bisect,42,0.5,0.0625,1,1.383320594417731
BA_m5_bisect,42,0.5,0.03125,0,1.2214459985802568
BA_m5_bisect,42,0.5,0.03125,1,1.2896223413951962
BA_m5_bisect,42,0.5,0.015625,0,1.5517770335740568
BA_m5_bisect,42,0.5,0.015625,1,1.5062427344732625
BA_m5_bisect,42,0.5,0.0078125,0,1.4490921455100592
BA_m5_bisect,42,0.5,0.0078125,1,1.5883608151496293
ER_p012,42,0.1,0.0,0,0.0
ER_p012,42,0.1,0.0,1,0.0
ER_p012,42,0.1,0.0,2,0.0
ER_p012,42,0.1,0.05,0,0.0
ER_p012,42,0.1,0.05,1,0.0
ER_p012,42,0.1,0.05,2,0.0
ER_p012,42,0.1,0.1,0,0.0
ER_p012,42,0.1,0.1,1,0.0
ER_p012,42,0.1,0.1,2,0.0
ER_p012,42,0.1,0.2,0,0.0
ER_p012,42,0.1,0.2,1,0.0
ER_p012,42,0.1,0.2,2,0.0
ER_p012,42,0.1,0.5,0,0.39247864849218733
ER_p012,42,0.1,0.5,1,0.2630982994591652
ER_p012,42,0.1,0.5,2,0.8962448935578207
ER_p012,42,0.3,0.0,0,0.10796975450137267
ER_p012,42,0.3,0.0,1,0.1518395656143787
ER_p012,42,0.3,0.0,2,0.25251559764986714
ER_p012,42,0.3,0.05,0,0.21929540808851913
ER_p012,42,0.3,0.05,1,0.227873272655744
ER_p012,42,0.3,0.05,2,0.11691243507402772
ER_p012,42,0.3,0.1,0,0.1762709684562593
ER_p012,42,0.3,0.1,1,0.24444346799906871
ER_p012,42,0.3,0.1,2,0.17463648820241137
ER_p012,42,0.3,0.2,0,0.6718775006669963
ER_p012,42,0.3,0.2,1,0.47498185603664006
ER_p012,42,0.3,0.2,2,0.2990494438108081
ER_p012,42,0.3,0.5,0,1.720917864244588
ER_p012,42,0.3,0.5,1,1.3884735940982584
ER_p012,42,0.3,0.5,2,1.4864806138027202
ER_p012,42,0.5,0.0,0,1.4591301956648617
ER_p012,42,0.5,0.0,1,1.6583429973416461
ER_p012,42,0.5,0.0,2,1.7099396519567285
ER_p012,42,0.5,0.05,0,1.4936372688863306
ER_p012,42,0.5,0.05,1,1.5755767253033772
ER_p012,42,0.5,0.05,2,1.4894046521763633
ER_p012,42,0.5,0.1,0,1.7129867204126557
ER_p012,42,0.5,0.1,1,1.58838161271431
ER_p012,42,0.5,0.1,2,1.7697751928490262
ER_p012,42,0.5,0.2,0,1.741099703664047
ER_p012,42,0.5,0.2,1,1.2928961030807145
ER_p012,42,0.5,0.2,2,1.5057803642837677
ER_p012,42,0.5,0.5,0,1.7070212170347348
ER_p012,42,0.5,0.5,1,1.7165085427163742
ER_p012,42,0.5,0.5,2,1.850565134251121
