eta,sigma_C,seed,H_continuous,H_cognitive_kimi
0.1,0.0,0,1.3757086009861739,0.08474959934610163
0.1,0.0,1,1.3638035634700492,0.07527493056009409
0.1,0.0,2,1.3456066526862995,0.048685292380158264
0.1,0.02,0,1.3539405001345532,0.05470681827652859
0.1,0.02,1,1.4216520899272986,0.08093999618063244
0.1,0.02,2,1.3833967898544808,0.05935929976880969
0.1,0.05,0,1.4184663665342858,0.07108798422598775
0.1,0.05,1,1.429351280400422,0.11019351460410468
0.1,0.05,2,1.367823084091156,0.05048417578689969
0.1,0.08,0,1.391294567193954,0.06925741457793388
0.1,0.08,1,1.3912756435931253,0.059968636269821816
0.1,0.08,2,1.3281979790939755,0.09047741494875544
0.1,0.1,0,1.4211713602569604,0.10200811557880063
0.1,0.1,1,1.301037775088849,0.04762243915580754
0.1,0.1,2,1.3952020622187613,0.07469819400527945
0.1,0.15,0,1.3504858488504987,0.10001174234725131
0.1,0.15,1,1.3910719959072968,0.06429863604759646
0.1,0.15,2,1.3458492561492068,0.056568595809689086
0.3,0.0,0,2.877168347459222,0.7657843752724283
0.3,0.0,1,2.7938187861062254,0.7220042325634421
0.3,0.0,2,2.8102825671734553,0.7228150185739747
0.3,0.02,0,2.8528597171437817,0.7797480663732751
0.3,0.02,1,2.815657543396769,0.7560735078484622
0.3,0.02,2,2.881404798662473,0.8289264004839353
0.3,0.05,0,2.8281598027607666,0.7356034988582911
0.3,0.05,1,2.929324696478421,0.7766520788276511
0.3,0.05,2,2.8423065554380202,0.7698969442754208
0.3,0.08,0,2.85982738242824,0.7704220009943907
0.3,0.08,1,2.81181221641843,0.737841321082059
0.3,0.08,2,2.855133042089655,0.7236483882616478
0.3,0.1,0,2.787583428977768,0.7644496910925083
0.3,0.1,1,2.972969916721099,0.8293242424099364
0.3,0.1,2,2.8271370179041875,0.7665223598225053
0.3,0.15,0,2.970628951699625,0.7514155584606312
0.3,0.15,1,2.841840638027533,0.7162502214797093
0.3,0.15,2,2.9407830409477396,0.7444049402250713
0.5,0.0,0,4.4509081731029685,1.46937054982893
0.5,0.0,1,4.161255160742319,1.2446635746861126
0.5,0.0,2,4.301109603882152,1.42277771707579
0.5,0.02,0,4.218628897863695,1.2143106158282169
0.5,0.02,1,4.279311350948746,1.253782117128826
0.5,0.02,2,4.223338968713666,1.3707019545298766
0.5,0.05,0,4.495066050234655,1.4973952912020463
0.5,0.05,1,4.480161907028977,1.4457211688280316
0.5,0.05,2,4.267438080315479,1.345159625904852
0.5,0.08,0,4.609343250483987,1.5496388185446703
0.5,0.08,1,3.990194815540605,1.166593481959037
0.5,0.08,2,4.569518000285049,1.305923067893926
0.5,0.1,0,4.392046049974977,1.4500461344168079
0.5,0.1,1,4.250273609744679,1.4382414201447
0.5,0.1,2,4.247890950756499,1.44511398942139
0.5,0.15,0,4.54191052815478,1.5346817177990135
0.5,0.15,1,4.513772934629918,1.4022913053047512
0.5,0.15,2,4.540291892445571,1.4895429379591
